mes,Cantidad_OMC,IPC,BR_r,Cantidad_Pol,Secuestro_simple_OMC,Secuestro_simple_Polic’a,Cantidad,Cantidad_Simple,Cantidad_Extorsivo
1954m7,0,0.03,8,,0,,0,0,0
1954m8,0,0.03,9,,0,,0,0,0
1954m9,0,0.03,9,,0,,0,0,0
1954m10,0,0.03,8,,0,,0,0,0
1954m11,0,0.03,8,,0,,0,0,0
1954m12,0,0.03,9,,0,,0,0,0
1955m1,0,0.03,8,,0,,0,0,0
1955m2,0,0.03,8,,0,,0,0,0
1955m3,0,0.03,8,,0,,0,0,0
1955m4,0,0.03,8,,0,,0,0,0
1955m5,0,0.03,8,,0,,0,0,0
1955m6,0,0.03,8,,0,,0,0,0
1955m7,0,0.03,8.5,,0,,0,0,0
1955m8,0,0.03,8.5,,0,,0,0,0
1955m9,4,0.03,8.5,,0,,4,0,4
1955m10,0,0.03,8,,0,,0,0,0
1955m11,0,0.03,8,,0,,0,0,0
1955m12,0,0.03,8,,0,,0,0,0
1956m1,0,0.03,8,,0,,0,0,0
1956m2,0,0.03,8,,0,,0,0,0
1956m3,0,0.03,8,,0,,0,0,0
1956m4,0,0.03,8,,0,,0,0,0
1956m5,0,0.03,7.5,,0,,0,0,0
1956m6,0,0.03,6,,0,,0,0,0
1956m7,0,0.03,6,,0,,0,0,0
1956m8,0,0.03,6,,0,,0,0,0
1956m9,0,0.03,6,,0,,0,0,0
1956m10,0,0.03,6,,0,,0,0,0
1956m11,0,0.03,6,,0,,0,0,0
1956m12,0,0.03,6,,0,,0,0,0
1957m1,0,0.03,6,,0,,0,0,0
1957m2,0,0.03,8,,0,,0,0,0
1957m3,0,0.03,8,,0,,0,0,0
1957m4,0,0.03,8,,0,,0,0,0
1957m5,0,0.03,8,,0,,0,0,0
1957m6,0,0.03,9,,0,,0,0,0
1957m7,0,0.03,8,,0,,0,0,0
1957m8,0,0.03,9,,0,,0,0,0
1957m9,6,0.03,10,,0,,6,0,6
1957m10,3,0.03,10,,3,,3,3,0
1957m11,0,0.03,10,,0,,0,0,0
1957m12,0,0.03,9,,0,,0,0,0
