IDCaso,IDCasoRelacionado,Año,Mes,Día,CódigoDANEdeMunicipio,Municipio,Departamento,Región,Modalidad,PresuntoResponsable,DescripciónPresuntoResponsable,AbandonooDespojoForzadodeTi,AmenazaoIntimidación,AtaqueContraMisiónMédica,ConfinamientooRestricciónala,DesplazamientoForzado,Extorsión,LesionadosCiviles,Pillaje,Tortura,ViolenciaBasadaenGénero,OtroHechoSimultáneo,TotaldeVíctimasdelCaso,ModalidaddeSecuestro,TipodeSecuestro,FinalidaddelSecuestro,ExigenciaparalaLiberación,Latitud,Longitud,IDPersona,Sexo,Etnia,Ocupación,CalidaddelaVíctimaolaBaja,TipodePoblaciónVulnerable,MilitantePolítico,FuerzaoGrupoArmadoOrganizado,DescripciónFuerzaoGrupoArmad,SituaciónActualdelaVíctima,CircunstanciaMuerteenCautiver,TipodeLiberación,DíasdeCautiverio,NodeVecessecuestrado,Edad,GAULA,_merge,Fecha,añomes,Y_Resultado,Grupo_Responsable,Perfil_Victima,Zona_Geografica,Modus_Operandi,Estructura_Secuestro,Intervencion_GAULA,Sexo_Victima,Duracion_Categ,Municipio_Num,ln_TotalVictimas,Periodo_Historico,_st,_d,_t,_t0,Muerte_Pct,Muerte_Dummy,_est_A,_est_B
66221,,2012,3,23,5480,MUTATA,ANTIOQUIA,URABA,INTERCEPTACIÓN,AGENTE DEL ESTADO - GRUPO POSDESMOVILIZACIÓN,NO APLICA,0,1,0,0,1,0,0,0,2,,,2,COLECTIVO,EXTORSIVO,ECONÓMICA,,7.329557848,-76.463065695,114093,HOMBRE,"NEGRO(A), MULATO(A), AFRODESCENDIENTE, AFROCOLOMBIANO(A)",SIN INFORMACIÓN,CIVIL,FAMILIAR DE PERSONA VULNERABLE,,,,MUERTO EN CAUTIVERIO,,PAGO,1.0,1,ADOLESCENCIA (12-17 AÑOS),No_GAULA,Matched (3),23mar2012,2012m3,Muerte,Delincuencia/Otro,Desconocido,Andina,Ataque Directo,Grupal,No Intervención,Hombre,Exprés (<=2d),MUTATA,0.69314718,Paz/Actual,1,1.0,1.0,0.0,100,1,1,0
66221,,2012,3,23,5480,MUTATA,ANTIOQUIA,URABA,INTERCEPTACIÓN,AGENTE DEL ESTADO - GRUPO POSDESMOVILIZACIÓN,NO APLICA,0,1,0,0,1,0,0,0,2,,,2,COLECTIVO,EXTORSIVO,ECONÓMICA,,7.329557848,-76.463065695,114092,HOMBRE,"NEGRO(A), MULATO(A), AFRODESCENDIENTE, AFROCOLOMBIANO(A)",SIN INFORMACIÓN,CIVIL,RECLAMANTE DE TIERRAS,,,,MUERTO EN CAUTIVERIO,,PAGO,1.0,1,ADULTEZ (29-59 AÑOS),No_GAULA,Matched (3),23mar2012,2012m3,Muerte,Delincuencia/Otro,Desconocido,Andina,Ataque Directo,Grupal,No Intervención,Hombre,Exprés (<=2d),MUTATA,0.69314718,Paz/Actual,1,1.0,1.0,0.0,100,1,1,0
104360,,2006,12,21,41668,SAN AGUSTIN,HUILA,MACIZO COLOMBIANO,DESCONOCIDA,GUERRILLA,NO IDENTIFICADA,0,0,0,0,0,0,0,0,0,,,1,INDIVIDUAL,EXTORSIVO,ECONÓMICA,,1.924165493,-76.416565503,110185,HOMBRE,,CONDUCTOR/MOTORISTA,CIVIL,LÍDER COMUNITARIO,,,,MUERTO EN CAUTIVERIO,,PAGO,33.0,2,,No_GAULA,Matched (3),21dec2006,2006m12,Muerte,Delincuencia/Otro,Vulnerable,Andina,Desconocido,Individual,No Intervención,Hombre,Largo (>1m),SAN AGUSTIN,0.0,Seg. Democrática,1,1.0,33.0,0.0,100,1,1,0
230407,,1996,4,11,19455,MIRANDA,CAUCA,NORTE DEL CAUCA,DESCONOCIDA,GUERRILLA,FARC,0,1,0,0,1,1,0,0,0,,,1,INDIVIDUAL,EXTORSIVO,ECONÓMICA,,3.228235212,-76.216708274,251682,HOMBRE,,PROFESIONAL,CIVIL,EXALCALDE,LIBERAL,,,LIBERADO,,POR PRESIÓN/INTERMEDIACIÓN,730.0,1,,No_GAULA,Matched (3),11apr1996,1996m4,Fuga o Liberación,FARC,Clase Media,Pacífico/Roja,Desconocido,Individual,No Intervención,Hombre,Largo (>1m),MIRANDA,0.0,Ascenso,1,0.0,730.0,0.0,0,0,1,1
260614,CR2017426968,2002,8,22,20011,AGUACHICA,CESAR,MAGDALENA MEDIO,DESCONOCIDA,GRUPO PARAMILITAR,AUTODEFENSAS UNIDAS DE COLOMBIA AUC,0,1,0,0,0,0,0,0,0,,,1,INDIVIDUAL,EXTORSIVO,OTRA,,8.248735219,-73.6227405,469617,HOMBRE,,SIN INFORMACIÓN,CIVIL,,,,,LIBERADO,,RESCATE,,0,,No_GAULA,Matched (3),22aug2002,2002m8,Rescate,Paramilitares,Desconocido,Caribe,Desconocido,Individual,No Intervención,Hombre,Sin Dato,AGUACHICA,0.0,Crisis/Caguán,0,,,,0,0,1,1
292363,,2002,4,11,76001,SANTIAGO DE CALI,VALLE DEL CAUCA,SUR DEL VALLE,INCURSIÓN,GUERRILLA,FARC,0,0,0,0,0,0,0,0,0,,,12,COLECTIVO,EXTORSIVO,POLÍTICA,,3.399043723,-76.576492589,385756,HOMBRE,,SIN INFORMACIÓN,CIVIL,DIPUTADO,LIBERAL,,,LIBERADO,,POR PRESIÓN/INTERMEDIACIÓN,2489.0,1,ADULTEZ (29-59 AÑOS),GAULA,Matched (3),11apr2002,2002m4,Fuga o Liberación,FARC,Desconocido,Metrópolis,Incursión Militar,Grupal,Intervención GAULA,Hombre,Largo (>1m),SANTIAGO DE CALI,2.4849067,Crisis/Caguán,1,0.0,2489.0,0.0,0,0,1,1
319825,CR018900,1986,10,3,11001,"BOGOTA, D.C.","BOGOTA, D. C.",AREA METROPOLITANA DE BOGOTA,INTERCEPTACIÓN,GUERRILLA,M19,0,0,0,0,0,0,0,0,0,,,1,INDIVIDUAL,EXTORSIVO,ECONÓMICA,,4.316107698,-74.181072702,361257,HOMBRE,,EMPRESARIO - INDUSTRIAL,CIVIL,,,,,LIBERADO,,RESCATE,17.0,1,,No_GAULA,Matched (3),03oct1986,1986m10,Rescate,Delincuencia/Otro,Alto ($$$),Metrópolis,Ataque Directo,Individual,No Intervención,Hombre,Corto (1m),"BOGOTA, D.C.",0.0,Ascenso,1,0.0,17.0,0.0,0,0,1,1
319826,,1978,3,25,11001,"BOGOTA, D.C.","BOGOTA, D. C.",AREA METROPOLITANA DE BOGOTA,DESCONOCIDA,GUERRILLA,M19,0,0,0,0,0,0,0,0,0,,,1,INDIVIDUAL,EXTORSIVO,ECONÓMICA,,4.316107698,-74.181072702,361258,HOMBRE,,EMPLEADO,CIVIL,EXDIPUTADO,,,,LIBERADO,,PAGO,,1,,No_GAULA,Matched (3),25mar1978,1978m3,Pago,Delincuencia/Otro,Clase Media,Metrópolis,Desconocido,Individual,No Intervención,Hombre,Sin Dato,"BOGOTA, D.C.",0.0,Ascenso,0,,,,0,0,1,1
319838,,1975,8,5,11001,"BOGOTA, D.C.","BOGOTA, D. C.",AREA METROPOLITANA DE BOGOTA,DESCONOCIDA,GUERRILLA,M19,0,0,0,0,0,0,0,0,0,,,1,INDIVIDUAL,EXTORSIVO,ECONÓMICA,,4.650173,-74.107359,361270,HOMBRE,,EMPRESARIO - INDUSTRIAL,CIVIL,,,,,LIBERADO,,RESCATE,,0,,No_GAULA,Matched (3),05aug1975,1975m8,Rescate,Delincuencia/Otro,Alto ($$$),Metrópolis,Desconocido,Individual,No Intervención,Hombre,Sin Dato,"BOGOTA, D.C.",0.0,Ascenso,0,,,,0,0,1,1
319840,CR2017319840,1977,8,19,11001,"BOGOTA, D.C.","BOGOTA, D. C.",AREA METROPOLITANA DE BOGOTA,ASALTO,GUERRILLA,M19,0,0,0,0,0,0,0,0,0,,,1,INDIVIDUAL,EXTORSIVO,POLÍTICA,,4.316107698,-74.181072702,361272,HOMBRE,,EMPRESARIO - INDUSTRIAL,CIVIL,EXMINISTRO,,,,LIBERADO,,POR PRESIÓN/INTERMEDIACIÓN,5.0,1,,No_GAULA,Matched (3),19aug1977,1977m8,Fuga o Liberación,Delincuencia/Otro,Alto ($$$),Metrópolis,Ataque Directo,Individual,No Intervención,Hombre,Corto (1m),"BOGOTA, D.C.",0.0,Ascenso,1,0.0,5.0,0.0,0,0,1,1
