tau,DC,PAR,ELN,FARC,iota,iota_post,alpha,gamma,alpha_R,gamma_R,alpha_N,gamma_N,Delta_H,V,d,a_S,a_S_t,a_F,a_F_t,a_K,a_K_t,match_S,match_F,match_K,U_rel,IR_K,IC_K,IR_F,Gamma_formal,IR_K_gap_E,IC_K_gap_E_min,IR_F_gap_E,IR_K_true,IR_K_true_gap,IR_K_true_U_rel,IR_K_true_V_cont,IR_K_true_U_kill,IC_F,IC_S,m,kh(DC),kh(PAR),kh(ELN),kh(FARC)
1,0.1027067466139323,0.3478870322908659,0.1909244513674455,0.3584817697277563,0.3584817697277563,0.355598858767336,0.95,0.91125635,0.78,0.8,0.25,0,0.02548739995196092,0,1,rescue,rescue,Cooperar,Cooperar,continue,continue,true,true,true,-2.37,true,true,true,true,23.307040978015593,0,20000001.62,true,16.18,-2.37,-864022.18,-18.55,true,true,continue,-1,-1,-1,-1
2,0.10376557995448807,0.3479824487678482,0.19265311251032788,0.355598858767336,0.355598858767336,0.3479193746969918,1,0.91101259,0.78,0.8,0.25,0,0.03487359649721933,0,0,rescue,rescue,Cooperar,Cooperar,continue,Matar,true,true,false,-2.37,true,true,true,true,23.328176752996963,0,20000002.330000002,true,16.18,-2.37,-914021.96,-18.55,true,true,continue,-1,-1,-1,-1
3,0.10726174263757043,0.3479193746969918,0.19834273664878735,0.34647614601665044,0.3479193746969918,0.3783533148747228,1,0.91024457,0.78,0.8,0.25,0,0.04390540721734215,1,1,rescue,rescue,Cooperar,Cooperar,continue,continue,true,true,true,-2.37,true,true,true,true,23.390116449706415,0,20000002.36,true,16.18,-2.37,-914021.25,-18.55,true,true,continue,-1,-1,-1,-1
4,0.17364892340866137,0.3783533148747227,0.27633809196373155,0.17165966975288438,0.3783533148747227,0.3636786033788772,1,0.89283854,0.78,0.8,0.25,0,0.06091841501001283,0,1,rescue,rescue,Cooperar,Cooperar,continue,Matar,true,true,false,-2.37,true,true,true,true,24.911233018626902,0,20000002.89,true,16.18,-2.37,-914005.48,-18.55,true,true,continue,-1,-1,-1,-1
5,0.189630720111433,0.36367860337887725,0.2971066478110468,0.14958402869864312,0.36367860337887725,0.3364210716087079,1,0.89082451,0.78,0.8,0.25,0,0.06725569963243805,0,0,rescue,rescue,Cooperar,Cooperar,continue,continue,true,true,true,-2.37,true,true,true,true,24.850898745043757,0,20000002.96,true,16.18,-2.37,-914003.7,-18.55,true,true,continue,-1,-1,-1,-1
6,0.22135405666361724,0.33129732201482764,0.3364210716087079,0.11092754971284731,0.3364210716087079,0.37192617286357604,1,0.88725407,0.78,0.8,0.25,0,0.07344961449499232,0,1,rescue,rescue,Cooperar,Cooperar,continue,continue,true,true,true,-2.37,true,true,true,true,24.646320861699163,0,20000003.080000002,true,16.18,-2.37,-914000.57,-18.55,true,true,continue,-1,-1,-1,-1
7,0.25222023679361305,0.2952215994017555,0.37192617286357604,0.08063199094105536,0.37192617286357604,0.4165980239406121,1,0.88443121,0.78,0.8,0.25,0,0.06861243637752001,1,1,rescue,rescue,Cooperar,Cooperar,continue,Matar,true,true,false,-2.37,true,true,true,true,24.327490240354194,0,20000003.18,true,16.18,-2.37,-913998.11,-18.55,true,true,continue,-1,-1,-1,-1
8,0.2773705703565784,0.2827857209239125,0.4165980239406121,0.023245684778896887,0.4165980239406121,0.440054232937978,1,0.87895943,0.78,0.8,0.25,0,0.04816074765325595,0,0,rescue,rescue,Cooperar,Cooperar,continue,continue,true,true,true,-2.37,true,true,true,true,24.567005468751077,0,20000003.35,true,16.18,-2.37,-913993.41,-18.55,true,true,continue,-1,-1,-1,-1
9,0.30183162788962153,0.24182338915081444,0.4400542329379781,0.01629075002158603,0.4400542329379781,0.45952869430282267,1,0.87850104,0.78,0.8,0.25,0,0.05190431193305134,0,1,rescue,rescue,Cooperar,Cooperar,continue,continue,true,true,true,-2.37,true,true,true,true,24.017213499413398,0,20000003.37,true,16.18,-2.37,-913993.02,-18.55,true,true,continue,-1,-1,-1,-1
10,0.32469487853481777,0.20448441811253681,0.45952869430282267,0.011292009049822698,0.45952869430282267,0.6048995349486357,1,0.87810427,0.78,0.8,0.25,0,0.04948576805212612,1,0,rescue,rescue,Cooperar,Cooperar,continue,continue,true,true,true,-2.37,true,true,true,true,23.49837586673144,0,20000003.400000002,true,16.18,-2.37,-913992.68,-18.55,true,true,continue,-1,-1,-1,-1
11,0.6048995349486358,0.08696625466864419,0.30733378148362855,0.0008004288990915113,0.6048995349486358,0.6208157535304578,0.95,0.8520505,0.78,0.8,0.25,0,0.037068102973390804,0,0,rescue,rescue,Cooperar,Cooperar,continue,continue,true,true,true,-2.37,true,true,true,true,20.178957128519762,0,20000003.520000003,true,16.18,-2.37,-863971.21,-18.55,true,true,continue,-1,-1,-1,-1
12,0.6208157535304578,0.07187239379129462,0.30675764402211914,0.0005542086561284791,0.6208157535304578,0.7652944757540378,0.95,0.85112153,0.78,0.8,0.25,0,0.035496315068245354,1,1,rescue,rescue,Cooperar,Cooperar,continue,Matar,true,true,false,-2.37,true,true,true,true,19.899317914717297,0,20000003.55,true,16.18,-2.37,-863970.48,-18.55,true,true,rescue,-1,-1,-1,-1
13,0.7652944757540378,0.07187889153948895,0.1624846756801058,0.0003419570263674884,0.7652944757540378,0.9164470781508728,0.95,0.83095009,0.78,0.8,0.25,0,0.025255089637357342,1,1,rescue,rescue,Cooperar,Cooperar,continue,continue,true,true,true,-2.37,true,true,true,true,18.767322510406636,0,20000004.130000003,true,16.18,-2.37,-863954.87,-18.55,true,true,continue,-1,-1,-1,-1
14,0.9164470781508726,0.019961937896851693,0.06357280666407239,0.0000181772882033831,0.9164470781508726,0.9209242741170396,0.83938887,0.81216664,0.78,0.8,0.25,0,0.01058849088824515,0,1,rescue,rescue,Cooperar,Cooperar,continue,continue,true,true,true,-2.37,true,true,true,true,17.04351480018731,0,20000003.11,true,16.18,-2.37,-753329.93,-18.55,true,true,continue,-1,-1,-1,-1
15,0.9209242741170398,0.01676627722955772,0.062296229948088984,0.000013218705313619583,0.9209242741170398,0.9249007949927598,0.83902955,0.81174288,0.78,0.8,0.25,0,0.009968281655189648,0,1,rescue,rescue,Cooperar,Cooperar,continue,continue,true,true,true,-2.37,true,true,true,true,16.97515092551949,0,20000003.12,true,16.18,-2.37,-752970.31,-18.55,true,true,continue,-1,-1,-1,-1
16,0.9249007949927598,0.014077566093013536,0.06101202723879543,0.000009611675431261323,0.9249007949927598,0.9512176514113725,0.83870038,0.81135107,0.78,0.8,0.25,0,0.009418652503132563,1,0,rescue,rescue,Cooperar,Cooperar,continue,continue,true,true,true,-2.37,true,true,true,true,16.915981355098598,0,20000003.13,true,16.18,-2.37,-752640.86,-18.55,true,true,continue,-1,-1,-1,-1
17,0.9512176514113725,0.006422290969102136,0.04235897303411672,0.000001084585408698578,0.9512176514113725,0.9531543492288598,0.78584298,0.80772399,0.78,0.8,0.25,0,0.0060693817803814665,0,0,rescue,rescue,Cooperar,Cooperar,continue,continue,true,true,true,-2.37,true,true,true,true,16.629786780551097,0,20000002.49,true,16.18,-2.37,-699780.87,-18.55,true,true,continue,-1,-1,-1,-1
18,0.9531543492288598,0.005431488289316617,0.041413361815342616,8.006664809799808e-7,0.9531543492288598,0.9672784322818742,0.7856609,0.80749725,0.78,0.8,0.25,0,0.00580821838785453,1,1,rescue,rescue,Cooperar,Cooperar,continue,continue,true,true,true,-2.37,true,true,true,true,16.60427224906707,0,20000002.48,true,16.18,-2.37,-699598.63,-18.55,true,true,continue,-1,-1,-1,-1
19,0.9672784322818743,0.003058667135792293,0.029662763148755027,1.3743357835459302e-7,0.9672784322818743,0.9879075806119012,0.78400722,0.80534281,0.78,0.8,0.25,0,0.004083537538655896,1,0,rescue,rescue,Cooperar,Cooperar,continue,continue,true,true,true,-2.37,true,true,true,true,16.468703675001468,0,20000002.52,true,16.18,-2.37,-697943.43,-18.55,true,true,rescue,-1,-1,-1,-1
20,0.9879075806119012,0.002008992320285232,0.010083394815175685,3.225263781519151e-8,0.9879075806119012,0.9884522542904904,0.78142405,0.80190112,0.78,0.8,0.25,0,0.0015744475993160756,0,0,rescue,rescue,Cooperar,Cooperar,continue,continue,true,true,true,-2.37,true,true,true,true,16.295838783917205,0,20000002.569999997,true,16.18,-2.37,-695357.84,-18.55,true,true,continue,-1,-1,-1,-1
21,0.9884522542904904,0.0017015636946572398,0.009846158105448213,2.3909404168366538e-8,0.9884522542904904,0.9889448137900947,0.78137453,0.80183837,0.78,0.8,0.25,0,0.0014958291159731796,0,0,rescue,rescue,Cooperar,Cooperar,continue,continue,true,true,true,-2.37,true,true,true,true,16.288362845895215,0,20000002.569999997,true,16.18,-2.37,-695308.28,-18.55,true,true,continue,-1,-1,-1,-1
22,0.9889448137900945,0.0014411492718506844,0.009614019213484462,1.7724570290093058e-8,0.9889448137900945,0.9987136173169746,0.78132856,0.80177979,0.78,0.8,0.25,0,0.0014253570643153052,1,1,rescue,rescue,Cooperar,Cooperar,continue,continue,true,true,true,-2.37,true,true,true,true,16.28178540072621,0,20000002.58,true,16.18,-2.37,-695262.27,-18.55,true,true,continue,-1,-1,-1,-1
