tau,DC,PAR,ELN,FARC,iota,iota_post,alpha,gamma,alpha_R,gamma_R,alpha_N,gamma_N,Delta_H,V,d,a_S,a_S_t,a_F,a_F_t,a_K,a_K_t,match_S,match_F,match_K,U_rel,IR_K,IC_K,IR_F,Gamma_formal,IR_K_gap_E,IC_K_gap_E_min,IR_F_gap_E,IR_K_true,IR_K_true_gap,IR_K_true_U_rel,IR_K_true_V_cont,IR_K_true_U_kill,IC_F,IC_S,m,kh(DC),kh(PAR),kh(ELN),kh(FARC)
1,0.35,0.15,0.35,0.15,0.35,0.3500117179512827,0.90749352,0.88735903,0.78,0.8,0.53999989,0.25000002,0.030196323212242415,0,0,rescue,rescue,Cooperar,Cooperar,Liberar,Matar,true,true,false,-2.37,true,true,true,true,21.365,0,20000001.860000003,true,16.18,-2.37,-821494.18,-18.55,true,true,continue,-1,-1,-1,-1
2,0.3500117179512827,0.14999410361986099,0.3500084463362627,0.14998573209259355,0.3500117179512827,0.41458695087232184,0.90749187,0.88735732,0.78,0.8,0.53999989,0.25000002,0.03025186941884872,1,1,rescue,rescue,Cooperar,Cooperar,Liberar,Liberar,true,true,true,-2.37,true,true,true,true,21.36498731433221,0,20000001.860000003,true,16.18,-2.37,-821492.53,-18.55,true,true,continue,-1,-1,-1,-1
3,0.3389764812153399,0.16668532376555595,0.4145869508723219,0.0797512441467824,0.4145869508723219,0.41464918062034634,0.90465353,0.88324427,0.78,0.8,0.53999989,0.25000002,0.027272928633392812,0,1,rescue,rescue,Cooperar,Cooperar,Liberar,Matar,true,true,false,-2.37,true,true,true,true,22.317881575571747,0,20000001.93,true,16.18,-2.37,-818650.62,-18.55,true,true,continue,-1,-1,-1,-1
4,0.33905564253090076,0.16661639199618178,0.41464918062034634,0.0796787848525711,0.41464918062034634,0.41479003182841556,0.90464517,0.88323573,0.78,0.8,0.53999989,0.25000002,0.027374979485208062,0,0,rescue,rescue,Cooperar,Cooperar,Liberar,continue,true,true,false,-2.37,true,true,true,true,22.317257028166328,0,20000001.93,true,16.18,-2.37,-818642.25,-18.55,true,true,continue,-1,-1,-1,-1
5,0.33923384734299794,0.1664645393405066,0.4147900318284156,0.07951158148807991,0.4147900318284156,0.41495983754060173,0.90462595,0.88321606,0.78,0.8,0.53999989,0.25000002,0.02760252071532987,0,1,rescue,rescue,Cooperar,Cooperar,Liberar,Liberar,true,true,true,-2.37,true,true,true,true,22.31592595941967,0,20000001.93,true,16.18,-2.37,-818623.01,-18.55,true,true,continue,-1,-1,-1,-1
6,0.33944996837263897,0.16628048204177337,0.41495983754060173,0.07930971204498592,0.41495983754060173,0.41520378523678814,0.90460268,0.88319224,0.78,0.8,0.53999989,0.25000002,0.02764989584392663,0,0,rescue,rescue,Cooperar,Cooperar,Liberar,Liberar,true,true,true,-2.37,true,true,true,true,22.314303805566084,0,20000001.93,true,16.18,-2.37,-818599.72,-18.55,true,true,continue,-1,-1,-1,-1
7,0.3397608504504701,0.16601554843057073,0.4152037852367882,0.07901981588217104,0.4152037852367882,0.4155347390406904,0.90456924,0.88315802,0.78,0.8,0.53999989,0.25000002,0.0278303372058033,0,1,rescue,rescue,Cooperar,Cooperar,Liberar,Liberar,true,true,true,-2.37,true,true,true,true,22.311963798527845,0,20000001.93,true,16.18,-2.37,-818566.25,-18.55,true,true,continue,-1,-1,-1,-1
8,0.3401833641067836,0.16565515458804037,0.4155347390406904,0.0786267422644856,0.4155347390406904,0.4159651202479173,0.90452385,0.88311157,0.78,0.8,0.53999989,0.25000002,0.028037401219194402,0,0,rescue,rescue,Cooperar,Cooperar,Liberar,Liberar,true,true,true,-2.37,true,true,true,true,22.30877107229542,0,20000001.93,true,16.18,-2.37,-818520.82,-18.55,true,true,continue,-1,-1,-1,-1
9,0.3407341208163296,0.1651848084259195,0.4159651202479173,0.07811595050983361,0.4159651202479173,0.41650676376204915,0.90446479,0.88305113,0.78,0.8,0.53999989,0.25000002,0.028270306495816966,0,1,rescue,rescue,Cooperar,Cooperar,Liberar,Liberar,true,true,true,-2.37,true,true,true,true,22.304587735278677,0,20000001.939999998,true,16.18,-2.37,-818461.71,-18.55,true,true,continue,-1,-1,-1,-1
10,0.34142938783426585,0.16459014501157973,0.4165067637620492,0.07747370339210523,0.4165067637620492,0.4171707560466005,0.90439039,0.88297502,0.78,0.8,0.53999989,0.25000002,0.028528041354991762,0,0,rescue,rescue,Cooperar,Cooperar,Liberar,Liberar,true,true,true,-2.37,true,true,true,true,22.299271999625397,0,20000001.93,true,16.18,-2.37,-818387.24,-18.55,true,true,continue,-1,-1,-1,-1
11,0.34228499123288875,0.16385697071763214,0.41717075604660053,0.07668728200287868,0.41717075604660053,0.41796725583089994,0.90429908,0.88288163,0.78,0.8,0.53999989,0.25000002,0.028809341297813873,0,0,rescue,rescue,Cooperar,Cooperar,Liberar,Liberar,true,true,true,-2.37,true,true,true,true,22.292677283443993,0,20000001.93,true,16.18,-2.37,-818295.85,-18.55,true,true,continue,-1,-1,-1,-1
