tau,DC,PAR,ELN,FARC,iota,iota_post,alpha,gamma,alpha_R,gamma_R,alpha_N,gamma_N,Delta_H,V,d,a_S,a_S_t,a_F,a_F_t,a_K,a_K_t,match_S,match_F,match_K,U_rel,IR_K,IC_K,IR_F,Gamma_formal,IR_K_gap_E,IC_K_gap_E_min,IR_F_gap_E,IR_K_true,IR_K_true_gap,IR_K_true_U_rel,IR_K_true_V_cont,IR_K_true_U_kill,IC_F,IC_S,m,kh(DC),kh(PAR),kh(ELN),kh(FARC)
1,0.10270674661393228,0.3478870322908659,0.1909244513674455,0.3584817697277563,0.3584817697277563,0.3584597564587967,0.93332012,0.9112564,0.78,0.8,0.53999989,0.25000002,0.022467988394653693,0,1,rescue,rescue,Cooperar,Cooperar,Liberar,Liberar,true,true,true,-2.37,true,true,true,true,23.307040978015593,0,20000001.39,true,16.18,-2.37,-847342.3,-18.55,true,true,continue,-1,-1,-1,-1
2,0.10271482242449712,0.3478878061720602,0.19093761494464606,0.3584597564587967,0.3584597564587967,0.3583731665553485,0.93331822,0.91125454,0.78,0.8,0.53999989,0.25000002,0.022536530170182978,0,0,rescue,rescue,Cooperar,Cooperar,Liberar,Matar,true,true,false,-2.37,true,true,true,true,23.307202909970524,0,20000001.39,true,16.18,-2.37,-847340.4,-18.55,true,true,continue,-1,-1,-1,-1
3,0.10274744534233142,0.34788866260991835,0.19099072549240168,0.3583731665553485,0.3583731665553485,0.391208272295484,0.93331078,0.91124725,0.78,0.8,0.53999989,0.25000002,0.02265545447192996,1,1,rescue,rescue,Cooperar,Cooperar,Liberar,Liberar,true,true,true,-2.37,true,true,true,true,23.307810377930657,0,20000001.39,true,16.18,-2.37,-847332.96,-18.55,true,true,continue,-1,-1,-1,-1
4,0.1567604717416187,0.39120827229548405,0.25361337816867724,0.19841787779422015,0.39120827229548405,0.3911025806524885,0.9176366,0.89528665,0.78,0.8,0.53999989,0.25000002,0.022025272560085574,0,1,rescue,rescue,Cooperar,Cooperar,Liberar,Matar,true,true,false,-2.37,true,true,true,true,24.91352395759533,0,20000001.669999998,true,16.18,-2.37,-831644.25,-18.55,true,true,continue,-1,-1,-1,-1
5,0.15690584711312727,0.3911025806524885,0.2538099197374688,0.1981816524969155,0.3911025806524885,0.3909505033326939,0.91761573,0.89526512,0.78,0.8,0.53999989,0.25000002,0.02221538926976585,0,0,rescue,rescue,Cooperar,Cooperar,Liberar,Liberar,true,true,true,-2.37,true,true,true,true,24.9136140546098,0,20000001.669999998,true,16.18,-2.37,-831623.36,-18.55,true,true,continue,-1,-1,-1,-1
6,0.157129613082526,0.3909505033326939,0.25411249349401444,0.19780739009076576,0.3909505033326939,0.39066758540925345,0.9175825,0.89523077,0.78,0.8,0.53999989,0.25000002,0.022422970800751063,0,1,rescue,rescue,Cooperar,Cooperar,Liberar,continue,true,true,false,-2.37,true,true,true,true,24.913968336799655,0,20000001.669999998,true,16.18,-2.37,-831590.1,-18.55,true,true,continue,-1,-1,-1,-1
7,0.15754509637426997,0.39066758540925345,0.2546750532376352,0.19711226497884146,0.39066758540925345,0.4540613962185013,0.91752083,0.89516698,0.78,0.8,0.53999989,0.25000002,0.022971157219896732,1,0,rescue,rescue,Cooperar,Cooperar,Liberar,Matar,true,true,false,-2.37,true,true,true,true,24.914622502231143,0,20000001.669999998,true,16.18,-2.37,-831528.37,-18.55,true,true,continue,-1,-1,-1,-1
8,0.17354494811691776,0.4540613962185013,0.29253250025274863,0.07986115541183234,0.4540613962185013,0.45332634311351294,0.90663933,0.88273414,0.78,0.8,0.53999989,0.25000002,0.018827989071128037,0,0,rescue,rescue,Cooperar,Cooperar,Liberar,Liberar,true,true,true,-2.37,true,true,true,true,26.606221688002005,0,20000001.88,true,16.18,-2.37,-820635.98,-18.55,true,true,continue,-1,-1,-1,-1
9,0.17403935953384891,0.45332634311351294,0.29319505977716553,0.07943923757547267,0.45332634311351294,0.45239374216002165,0.90660707,0.88270186,0.78,0.8,0.53999989,0.25000002,0.019057914611984694,0,1,rescue,rescue,Cooperar,Cooperar,Liberar,Liberar,true,true,true,-2.37,true,true,true,true,26.59885298460104,0,20000001.88,true,16.18,-2.37,-820603.69,-18.55,true,true,continue,-1,-1,-1,-1
10,0.17466546937577968,0.45239374216002165,0.2940330017701893,0.07890778669400927,0.45239374216002165,0.4175147241434174,0.90656645,0.88266127,0.78,0.8,0.53999989,0.25000002,0.019343090822818265,1,0,rescue,rescue,Cooperar,Cooperar,Liberar,Liberar,true,true,true,-2.37,true,true,true,true,26.589475066616078,0,20000001.88,true,16.18,-2.37,-820563.03,-18.55,true,true,continue,-1,-1,-1,-1
11,0.4175147241434174,0.31180598046058233,0.259686943502076,0.010992351893924232,0.4175147241434174,0.4187121297802102,0.88313756,0.85967059,0.78,0.8,0.53999989,0.25000002,0.021552395838577487,0,0,rescue,rescue,Cooperar,Cooperar,Liberar,Liberar,true,true,true,-2.37,true,true,true,true,23.8899151588758,0,20000002.290000003,true,16.18,-2.37,-797114.9,-18.55,true,true,continue,-1,-1,-1,-1
12,0.4187121297802102,0.3102609469208223,0.26015870196558355,0.01086822133338395,0.4187121297802102,0.702775969754328,0.88308373,0.85962679,0.78,0.8,0.53999989,0.25000002,0.021803243145273044,1,1,rescue,rescue,Cooperar,Cooperar,Liberar,Matar,true,true,false,-2.37,true,true,true,true,23.86565689411061,0,20000002.290000003,true,16.18,-2.37,-797061.04,-18.55,true,true,continue,-1,-1,-1,-1
13,0.7027759697543279,0.14171960345791018,0.1541231655413469,0.0013812612464149294,0.7027759697543279,0.8845581188483608,0.85843413,0.83411184,0.78,0.8,0.53999989,0.25000002,0.017561703286012476,1,1,rescue,rescue,Cooperar,Cooperar,Liberar,Liberar,true,true,true,-2.37,true,true,true,true,19.97487666092325,0,20000002.740000002,true,16.18,-2.37,-772391.39,-18.55,true,true,continue,-1,-1,-1,-1
14,0.8845581188483608,0.050318373037961724,0.06501349165068353,0.00011001646299398043,0.8845581188483608,0.8851362953959505,0.84144334,0.81442917,0.78,0.8,0.53999989,0.25000002,0.008612319429181114,0,1,rescue,rescue,Cooperar,Cooperar,Liberar,Liberar,true,true,true,-2.37,true,true,true,true,17.608947167875797,0,20000003.069999997,true,16.18,-2.37,-755386.03,-18.55,true,true,continue,-1,-1,-1,-1
15,0.8851362953959505,0.049800849654451924,0.06495492403769175,0.00010793091190583076,0.8851362953959505,0.8857940762640619,0.84140393,0.81438517,0.78,0.8,0.53999989,0.25000002,0.008658681519415234,0,1,rescue,rescue,Cooperar,Cooperar,Liberar,Liberar,true,true,true,-2.37,true,true,true,true,17.599041647944123,0,20000003.069999997,true,16.18,-2.37,-755346.59,-18.55,true,true,continue,-1,-1,-1,-1
16,0.8857940762640619,0.04921304273160157,0.0648872959355758,0.00010558506876084181,0.8857940762640619,0.9262042178778599,0.84135902,0.814335,0.78,0.8,0.53999989,0.25000002,0.008705228608101523,1,0,rescue,rescue,Cooperar,Cooperar,Liberar,Liberar,true,true,true,-2.37,true,true,true,true,17.587782151534423,0,20000003.069999997,true,16.18,-2.37,-755301.64,-18.55,true,true,continue,-1,-1,-1,-1
17,0.92620421787786,0.026908210867426164,0.04687127402547743,0.000016297229236487702,0.92620421787786,0.9266810616271925,0.78767968,0.809868,0.78,0.8,0.53999989,0.25000002,0.006139512340254949,0,0,rescue,rescue,Cooperar,Cooperar,Liberar,Liberar,true,true,true,-2.37,true,true,true,true,17.039250511136142,0,20000002.439999998,true,16.18,-2.37,-701619.1,-18.55,true,true,continue,-1,-1,-1,-1
18,0.9266810616271925,0.02651274002848638,0.04679033593968146,0.000015862404639618356,0.9266810616271925,0.947934265625296,0.78764502,0.80982783,0.78,0.8,0.53999989,0.25000002,0.006161647841963158,1,1,rescue,rescue,Cooperar,Cooperar,Liberar,Liberar,true,true,true,-2.37,true,true,true,true,17.031394727989287,0,20000002.45,true,16.18,-2.37,-701584.41,-18.55,true,true,continue,-1,-1,-1,-1
