tau,DC,PAR,ELN,FARC,iota,iota_post,alpha,gamma,alpha_R,gamma_R,alpha_N,gamma_N,Delta_H,V,d,a_S,a_S_t,a_F,a_F_t,a_K,a_K_t,match_S,match_F,match_K,U_rel,IR_K,IC_K,IR_F,Gamma_formal,IR_K_gap_E,IC_K_gap_E_min,IR_F_gap_E,IR_K_true,IR_K_true_gap,IR_K_true_U_rel,IR_K_true_V_cont,IR_K_true_U_kill,IC_F,IC_S,m,kh(DC),kh(PAR),kh(ELN),kh(FARC)
1,0.35,0.15,0.35,0.15,0.35,0.350011594473454,0.90749352,0.88735903,0.78,0.8,0.53999989,0.25000002,0.030196327754159036,0,0,rescue,rescue,Cooperar,Cooperar,Liberar,Liberar,true,true,true,-2.37,true,true,true,true,21.365,0,20000001.860000003,true,16.18,-2.37,-821494.18,-18.55,true,true,continue,-1,-1,-1,-1
2,0.35001159447345404,0.1499943801264495,0.35000838090550446,0.14998564449459212,0.35001159447345404,0.3799473641620317,0.90749186,0.88735731,0.78,0.8,0.53999989,0.25000002,0.03025083594868372,1,0,rescue,rescue,Cooperar,Cooperar,Liberar,continue,true,true,false,-2.37,true,true,true,true,21.36499202578305,0,20000001.860000003,true,16.18,-2.37,-821492.52,-18.55,true,true,continue,-1,-1,-1,-1
3,0.33376211920600596,0.1791206804346727,0.37994736416203173,0.10716983619728965,0.37994736416203173,0.4911469503722761,0.90573041,0.88468284,0.78,0.8,0.53999989,0.25000002,0.027948348298881598,1,1,rescue,rescue,Cooperar,Cooperar,Liberar,continue,true,true,false,-2.37,true,true,true,true,22.217919062652523,0,20000001.89,true,16.18,-2.37,-819728.74,-18.55,true,true,continue,-1,-1,-1,-1
4,0.4911469503722761,0.15111578226194125,0.32976378893679276,0.027973478428989867,0.4911469503722761,0.4912733852882548,0.88509193,0.86354726,0.78,0.8,0.53999989,0.25000002,0.026194744269061543,0,0,rescue,rescue,Cooperar,Cooperar,Liberar,Liberar,true,true,true,-2.37,true,true,true,true,21.471793235614598,0,20000002.25,true,16.18,-2.37,-799072.44,-18.55,true,true,continue,-1,-1,-1,-1
5,0.49127338528825487,0.15099652083878773,0.32980259401929934,0.027927499853658222,0.49127338528825487,0.4915273047153438,0.88508201,0.8635373,0.78,0.8,0.53999989,0.25000002,0.02623102517854603,0,1,rescue,rescue,Cooperar,Cooperar,Liberar,continue,true,true,false,-2.37,true,true,true,true,21.47001255886191,0,20000002.25,true,16.18,-2.37,-799062.51,-18.55,true,true,continue,-1,-1,-1,-1
6,0.49152730471534367,0.15075655469330945,0.3298812004942421,0.027834940097104674,0.49152730471534367,0.4918111913843585,0.88506209,0.8635173,0.78,0.8,0.53999989,0.25000002,0.026425094417854567,0,0,rescue,rescue,Cooperar,Cooperar,Liberar,Liberar,true,true,true,-2.37,true,true,true,true,21.466433882984447,0,20000002.25,true,16.18,-2.37,-799042.57,-18.55,true,true,continue,-1,-1,-1,-1
7,0.4918111913843586,0.1504887582140818,0.3299679802515057,0.02773207015005398,0.4918111913843586,0.5026673690927483,0.88503982,0.86349495,0.78,0.8,0.53999989,0.25000002,0.026442397078369595,1,1,rescue,rescue,Cooperar,Cooperar,Liberar,continue,true,true,false,-2.37,true,true,true,true,21.462431908961847,0,20000002.26,true,16.18,-2.37,-799020.28,-18.55,true,true,continue,-1,-1,-1,-1
8,0.5026673690927485,0.15026146369993168,0.33447407038955146,0.01259709681776855,0.5026673690927485,0.5031334999803799,0.88304325,0.86112136,0.78,0.8,0.53999989,0.25000002,0.025756002161417824,0,0,rescue,rescue,Cooperar,Cooperar,Liberar,Matar,true,true,false,-2.37,true,true,true,true,21.524075615115017,0,20000002.3,true,16.18,-2.37,-797021.77,-18.55,true,true,continue,-1,-1,-1,-1
9,0.5031334999803799,0.1497575947089665,0.3345947815581267,0.01251412375252686,0.5031334999803799,0.7465941730549182,0.88301459,0.86109487,0.78,0.8,0.53999989,0.25000002,0.025759359209332144,1,1,rescue,rescue,Cooperar,Cooperar,Liberar,Liberar,true,true,true,-2.37,true,true,true,true,21.515989325874443,0,20000002.310000002,true,16.18,-2.37,-796993.09,-18.55,true,true,continue,-1,-1,-1,-1
10,0.7465941730549182,0.06616471987501003,0.1853274680020279,0.001913639068043877,0.7465941730549182,0.9398736810169952,0.85789281,0.83432154,0.78,0.8,0.53999989,0.25000002,0.018704670039356053,1,0,rescue,rescue,Cooperar,Cooperar,Liberar,Liberar,true,true,true,-2.37,true,true,true,true,18.839141994206834,0,20000002.75,true,16.18,-2.37,-771850.23,-18.55,true,true,continue,-1,-1,-1,-1
